Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
253,2012,NBA,1,23,ATL,John Jenkins\jenkijo01,21.12,G,us,Vanderbilt,2013,2019,171,12.8,5,1.5,0.8,0.2,0.1,0.441,0.503,0.367,0.847,3,0.065
254,2015,NBA,1,3,PHI,Jahlil Okafor\okafoja01,19.197,C-F,us,Duke,2016,2020,196,21,11.4,5.1,0.9,0.3,0.9,0.532,0.535,0.2,0.679,5.5,0.065
255,2010,NBA,1,28,MEM,Greivis Vásquez\vasqugr01,23.165,G,ve,Maryland,2011,2017,401,23.7,9,2.5,4.8,0.6,0.1,0.418,0.456,0.349,0.817,12.6,0.064
256,2013,NBA,1,23,IND,Solomon Hill\hillso01,22.107,F,us,Arizona,2014,2020,308,22.6,5.9,3.3,1.5,0.7,0.2,0.396,0.448,0.33,0.805,9.3,0.064
257,2016,NBA,1,20,IND,Caris LeVert\leverca01,21.308,G-F,us,Michigan,2017,2020,174,25,11.4,3.6,3.4,1,0.3,0.438,0.498,0.329,0.706,5.8,0.064
258,2009,NBA,1,12,CHA,Gerald Henderson\hendege02,21.204,G,us,Duke,2010,2017,535,25.9,11.2,3.2,1.9,0.7,0.3,0.44,0.46,0.327,0.793,18.3,0.063
259,2009,NBA,2,36,MEM,Sam Young\youngsa01,24.03,F,us,Pitt,2010,2013,249,15.9,5.8,2.3,0.7,0.5,0.2,0.442,0.468,0.28,0.742,5.2,0.063
260,2009,NBA,2,45,MIN,Nick Calathes\calatni01,20.143,G,us,Florida,2014,2015,129,15.6,4.6,1.9,2.7,1,0.1,0.441,0.476,0.288,0.581,2.6,0.063
261,2014,NBA,1,10,PHI,Elfrid Payton\paytoel01,20.129,G,us,Louisiana,2015,2020,346,29.5,11.1,4.3,6.5,1.3,0.3,0.453,0.477,0.307,0.632,13.4,0.063
262,2011,NBA,2,33,DET,Kyle Singler\singlky01,23.055,F,us,Duke,2013,2018,356,21.9,6.5,2.9,0.8,0.6,0.3,0.418,0.458,0.362,0.786,10,0.062
263,2014,NBA,1,27,PHO,Bogdan Bogdanović\bogdabo01,21.317,G,rs,,2018,2020,155,27.7,12.7,3.1,3.5,1,0.2,0.426,0.469,0.371,0.821,5.6,0.062
264,2016,NBA,1,25,LAC,Brice Johnson\johnsbr02,22.002,F,us,UNC,2017,2018,21,5.1,2.2,1.6,0.1,0.5,0.3,0.449,0.458,0,0.6,0.1,0.062
265,2009,NBA,1,28,MIN,Wayne Ellington\ellinwa01,21.214,G,us,UNC,2010,2020,651,21.3,8.2,2.2,1.1,0.6,0.1,0.41,0.447,0.378,0.845,17.7,0.061
266,2012,NBA,2,52,GSW,Ognjen Kuzmić\kuzmiog01,22.049,C,ba,,2014,2015,37,4.4,0.9,1,0.2,0.1,0.1,0.52,0.52,,0.6,0.2,0.061
267,2017,NBA,1,15,POR,Justin Jackson\jacksju01,22.092,G-F,us,UNC,2018,2020,155,20.6,6.9,2.6,1.1,0.4,0.2,0.447,0.546,0.336,0.769,4.1,0.061
268,2011,NBA,2,47,LAC,Travis Leslie\leslitr01,21.091,G,us,Georgia,2012,2012,10,4.5,1.4,0.9,0.5,0.2,0.2,0.357,0.357,,0.444,0.1,0.06
269,2013,NBA,1,17,ATL,Dennis Schröder\schrode01,19.29,G,de,,2014,2020,437,24.8,13.4,2.8,4.6,0.8,0.1,0.43,0.468,0.324,0.824,13.5,0.06
270,2011,NBA,2,34,WAS,Shelvin Mack\macksh01,21.067,G,us,Butler,2012,2019,456,18.4,6.6,2,3.1,0.7,0.1,0.423,0.47,0.33,0.731,10.3,0.059
271,2012,NBA,2,36,SAC,Orlando Johnson\johnsor01,23.115,G,us,University of California Santa Barbara,2013,2016,103,10.8,3.2,1.7,0.7,0.2,0.1,0.358,0.398,0.311,0.727,1.4,0.059
272,2009,NBA,2,52,IND,A.J. Price\priceaj01,22.267,G,us,UConn,2010,2015,261,15.1,5.8,1.4,2.2,0.5,0,0.38,0.439,0.316,0.742,4.7,0.058
273,2011,NBA,2,55,BOS,E'Twaun Moore\mooreet01,22.123,G-F,us,Purdue,2012,2020,516,21.6,8,2,1.8,0.7,0.2,0.458,0.491,0.392,0.744,13.5,0.058
274,2013,NBA,1,9,MIN,Trey Burke\burketr01,20.232,G,us,Michigan,2014,2019,361,23.6,10.9,2.1,3.6,0.6,0.1,0.408,0.445,0.34,0.8,10.2,0.058
275,2010,NBA,2,58,LAL,Derrick Caracter\caracde01,22.056,F,us,Texas-El Paso,2011,2011,41,5.2,2,1,0.2,0.1,0.2,0.485,0.485,,0.739,0.3,0.057
276,2013,NBA,2,33,CLE,Carrick Felix\felixca01,22.32,G,us,Arizona State,2014,2014,7,5.4,2.7,0.9,0.6,0,0,0.5,0.556,0.4,0.75,0,0.057
277,2015,NBA,1,10,MIA,Justise Winslow\winslju01,19.095,F,us,Duke,2016,2020,234,28.4,9,5.4,2.7,1,0.4,0.418,0.446,0.342,0.642,7.9,0.057
278,2016,NBA,2,38,MIL,Patrick McCaw\mccawpa01,20.247,G,us,UNLV,2017,2020,159,15.5,3.7,1.5,1.2,0.6,0.2,0.422,0.516,0.299,0.784,2.9,0.057
279,2017,NBA,2,47,IND,Ike Anigbogu\anigbik01,18.253,F-C,us,UCLA,2018,2019,14,2.6,0.9,0.9,0.1,0.1,0.3,0.333,0.333,,0.833,0,0.057
280,2017,NBA,1,20,POR,Harry Giles\gilesha01,19.066,F-C,us,Duke,2019,2019,58,14.1,7,3.8,1.5,0.5,0.4,0.503,0.512,0,0.637,1,0.056
281,2011,NBA,1,17,NYK,Iman Shumpert\shumpim01,21.002,G,us,Georgia Tech,2012,2019,446,25.2,7.3,3.4,1.9,1.1,0.3,0.393,0.438,0.34,0.766,12.9,0.055
282,2012,NBA,2,46,NOH,Darius Miller\milleda01,22.105,F,us,Kentucky,2013,2019,253,20.4,6,1.7,1.4,0.4,0.2,0.418,0.495,0.382,0.83,5.9,0.055
283,2015,NBA,1,13,PHO,Devin Booker\bookede01,18.242,G,us,Kentucky,2016,2020,278,32.9,21.4,3.5,4.3,0.8,0.3,0.438,0.478,0.356,0.854,10.5,0.055
284,2017,NBA,1,2,LAL,Lonzo Ball\balllo01,19.243,G,us,UCLA,2018,2020,105,32.3,10.1,6.1,6.4,1.6,0.6,0.382,0.448,0.32,0.45,3.9,0.055
285,2017,NBA,2,54,PHO,Alec Peters\peteral01,22.076,F,us,Valparaiso,2018,2018,20,11.3,4.1,1.9,0.6,0.1,0.1,0.378,0.625,0.31,0.8,0.3,0.055
286,2015,NBA,1,29,BRK,Chris McCullough\mcculch01,20.145,F,us,Syracuse,2016,2018,59,9,3.3,1.9,0.3,0.5,0.3,0.426,0.47,0.306,0.548,0.6,0.054
287,2009,NBA,1,15,DET,Austin Daye\dayeau01,21.025,F,us,Gonzaga,2010,2015,293,14.1,5.2,2.6,0.7,0.4,0.4,0.402,0.433,0.351,0.778,4.5,0.053
288,2010,NBA,1,2,PHI,Evan Turner\turneev01,21.245,G,us,Ohio State,2011,2020,689,27.2,9.8,4.7,3.5,0.8,0.3,0.435,0.459,0.296,0.781,20.7,0.053
289,2012,NBA,1,5,SAC,Thomas Robinson\robinth01,21.109,F,us,Kansas,2013,2017,313,13.4,4.9,4.8,0.6,0.5,0.4,0.47,0.472,0,0.505,4.6,0.053
290,2015,NBA,1,25,MEM,Jarell Martin\martija01,21.037,F,us,LSU,2016,2019,184,15.9,5.4,3.5,0.6,0.4,0.4,0.434,0.457,0.346,0.766,3.2,0.053
291,2017,NBA,1,5,SAC,De'Aaron Fox\foxde01,19.189,G,us,Kentucky,2018,2020,161,29.8,14.7,3.3,5.9,1.3,0.4,0.437,0.461,0.345,0.725,5.3,0.053
292,2014,NBA,2,58,SAS,Jordan McRae\mcraejo01,23.096,G,us,Tennessee,2016,2020,87,10.7,5,1.2,0.9,0.3,0.2,0.428,0.461,0.351,0.788,1,0.052
293,2017,NBA,2,33,ORL,Wesley Iwundu\iwundwe01,22.19,F,us,Kansas State,2018,2020,131,17.3,4.4,2.5,1,0.5,0.3,0.417,0.457,0.302,0.787,2.4,0.052
294,2015,NBA,1,28,BOS,R.J. Hunter\hunterj01,21.249,G,us,Georgia State University,2016,2019,45,8.8,3,1,0.4,0.4,0.1,0.371,0.523,0.295,0.818,0.4,0.051
295,2015,NBA,2,44,PHO,Andrew Harrison\harrian01,20.245,G,us,Kentucky,2017,2019,145,20.6,7,2,2.8,0.7,0.3,0.373,0.422,0.294,0.779,3.2,0.051
296,2017,NBA,2,37,BOS,Semi Ojeleye\ojelese01,22.205,F,us,SMU,2018,2020,134,13.5,2.9,1.9,0.3,0.2,0.1,0.38,0.489,0.312,0.612,1.9,0.051
297,2014,NBA,2,46,WAS,Jordan Clarkson\clarkjo01,22.024,G,us,Missouri,2015,2020,388,27.5,14.7,3.2,2.7,0.9,0.1,0.445,0.497,0.335,0.818,11.1,0.05
298,2015,NBA,2,33,BOS,Jordan Mickey\mickejo01,20.356,F,us,LSU,2016,2018,64,7.5,2.4,2,0.3,0.1,0.4,0.449,0.496,0.118,0.605,0.5,0.05
299,2017,NBA,2,52,NOP,Edmond Sumner\sumneed01,21.179,G,us,Xavier,2018,2020,27,10.3,3.3,1,0.6,0.6,0.2,0.386,0.472,0.233,0.621,0.3,0.049
300,2010,NBA,1,19,BOS,Avery Bradley\bradlav01,19.215,G,us,Texas,2011,2020,528,28.6,12,3,1.8,1,0.2,0.436,0.471,0.364,0.777,15,0.048
301,2010,NBA,2,52,BOS,Luke Harangody\haranlu01,22.179,F,us,Notre Dame,2011,2012,70,12.4,3.6,2.8,0.5,0.3,0.3,0.376,0.44,0.241,0.737,0.9,0.048
302,2012,NBA,1,28,OKC,Perry Jones\jonespe01,20.283,F,us,Baylor,2013,2015,143,11.7,3.4,1.8,0.4,0.3,0.2,0.42,0.466,0.293,0.66,1.7,0.048
303,2014,NBA,1,20,TOR,Bruno Caboclo\cabocbr01,18.283,F,br,,2015,2020,72,14.3,4.7,2.8,0.8,0.3,0.6,0.384,0.439,0.337,0.839,1,0.048
304,2016,NBA,1,14,CHI,Denzel Valentine\valende01,22.225,G,us,Michigan State,2017,2020,135,22.8,8,4,2.3,0.7,0.1,0.399,0.432,0.374,0.754,3.1,0.048
305,2011,NBA,1,25,BOS,MarShon Brooks\brookma01,22.153,G-F,us,Providence,2012,2019,200,17.3,8,2.1,1.4,0.6,0.2,0.447,0.478,0.345,0.751,3.3,0.046
306,2013,NBA,2,48,LAL,Ryan Kelly\kellyry01,22.085,F,us,Duke,2014,2017,163,19.2,6,3.1,1.3,0.5,0.5,0.378,0.416,0.316,0.797,3,0.046
307,2014,NBA,1,17,BOS,James Young\youngja01,18.319,G-F,us,Kentucky,2015,2018,95,8.5,2.3,1,0.3,0.3,0.1,0.367,0.534,0.277,0.563,0.8,0.046
308,2016,NBA,1,12,UTA,Taurean Waller-Prince\princta02,22.099,F,us,Baylor,2017,2020,202,25.7,11.5,3.9,2,0.9,0.5,0.427,0.468,0.383,0.817,5,0.046
309,2012,NBA,1,19,ORL,Andrew Nicholson\nichoan01,22.208,F,ca,St. Bonaventure,2013,2017,285,14.3,6,3,0.4,0.3,0.3,0.467,0.498,0.321,0.773,3.8,0.045
310,2010,NBA,1,17,CHI,Kevin Séraphin\serapke01,20.204,F,gf,,2011,2017,423,15.2,5.9,3.5,0.6,0.2,0.7,0.489,0.491,0,0.715,5.9,0.044
311,2010,NBA,1,27,NJN,Jordan Crawford\crawfjo02,21.249,G,us,Xavier,2011,2018,281,24.4,12.2,2.5,3.1,0.7,0.1,0.411,0.458,0.317,0.826,6.3,0.044
312,2011,NBA,1,8,DET,Brandon Knight\knighbr03,19.208,G,us,Kentucky,2012,2020,423,30,14.4,3.2,4,0.9,0.2,0.413,0.445,0.354,0.811,11.6,0.044
313,2013,NBA,1,18,ATL,Shane Larkin\larkish01,20.273,G,us,Miami (FL),2014,2018,256,19.1,5.5,1.9,2.9,0.9,0.1,0.422,0.454,0.336,0.777,4.4,0.044
314,2014,NBA,1,1,CLE,Andrew Wiggins\wiggian01,19.128,F-G,ca,Kansas,2015,2020,405,35.9,19.4,4.3,2.2,1,0.6,0.44,0.468,0.331,0.736,13.4,0.044
315,2014,NBA,1,13,MIN,Zach LaVine\lavinza01,19.113,G,us,UCLA,2015,2020,300,30,16.2,3.4,3.5,0.9,0.2,0.446,0.48,0.374,0.822,8.2,0.044
316,2015,NBA,1,14,OKC,Cameron Payne\payneca01,20.326,G,us,Murray State,2016,2019,153,16,6,1.8,2.5,0.7,0.2,0.397,0.443,0.331,0.775,2.2,0.044
317,2016,NBA,1,13,PHO,Georgios Papagiannis\papagge01,18.36,C,gr,,2017,2018,39,12.2,4.1,3.2,0.7,0.2,0.6,0.514,0.521,0,0.857,0.4,0.044
318,2017,NBA,1,1,PHI,Markelle Fultz\fultzma01,19.029,G,us,Washington,2018,2020,39,21,8,3.2,3.4,0.9,0.2,0.423,0.444,0.226,0.554,0.7,0.044
319,2013,NBA,2,34,HOU,Isaiah Canaan\canaais01,22.043,G,us,Murray State,2014,2019,235,20.4,8.1,1.9,1.9,0.6,0.1,0.371,0.404,0.351,0.836,4.3,0.043
320,2016,NBA,2,37,HOU,Chinanu Onuaku\onuakch01,19.239,F-C,us,Louisville,2017,2018,6,12.3,3,2.3,0.7,0.5,0.2,0.583,0.583,,1,0.1,0.043
321,2011,NBA,1,18,WAS,Chris Singleton\singlch01,21.219,F,us,Florida State,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,0.376,0.4,0.319,0.633,2.3,0.042
322,2012,NBA,2,60,LAL,Robert Sacre\sacrero01,23.028,C,us,Gonzaga,2013,2016,189,14.5,4.2,3.1,0.7,0.3,0.6,0.436,0.437,0,0.671,2.4,0.042
323,2009,NBA,1,20,UTA,Eric Maynor\maynoer01,22.02,G,us,Virginia Commonwealth,2010,2014,267,14.6,4.3,1.3,2.8,0.4,0.1,0.392,0.409,0.35,0.721,3.3,0.041
324,2015,NBA,1,2,LAL,D'Angelo Russell\russeda01,19.127,G,us,Ohio State,2016,2020,277,28.5,16.6,3.7,5.1,1.1,0.2,0.418,0.465,0.353,0.76,6.7,0.041
325,2017,NBA,2,44,NYK,Damyean Dotson\dotsoda01,23.053,G,us,Oregon,2018,2020,120,20.8,8.1,2.9,1.4,0.6,0.1,0.422,0.477,0.362,0.734,2.1,0.041
326,2011,NBA,2,43,CHI,Malcolm Lee\leema01,21.037,G,us,UCLA,2012,2015,36,14.8,3.9,1.8,1.4,0.6,0.3,0.382,0.412,0.294,0.703,0.4,0.04
327,2011,NBA,2,53,ORL,DeAndre Liggins\liggide01,23.089,G,us,Kentucky,2012,2018,177,10.8,2,1.4,0.7,0.6,0.2,0.402,0.432,0.352,0.549,1.6,0.04
328,2016,NBA,1,2,LAL,Brandon Ingram\ingrabr01,18.299,F,us,Duke,2017,2020,196,31.6,14.2,4.8,2.9,0.6,0.6,0.46,0.487,0.342,0.664,5.1,0.04
329,2009,NBA,1,14,PHO,Earl Clark\clarkea01,21.165,F,us,Louisville,2010,2015,261,13.9,4.4,3,0.5,0.3,0.5,0.403,0.424,0.328,0.664,2.9,0.038
330,2010,NBA,1,4,MIN,Wesley Johnson\johnswe01,22.354,F-G,us,Syracuse,2011,2019,609,22.1,7,3.2,1.1,0.8,0.7,0.404,0.46,0.337,0.741,10.7,0.038
331,2015,NBA,2,31,MIN,Cedi Osman\osmande01,20.083,F,mk,,2018,2020,143,23,9,3.5,1.7,0.6,0.1,0.437,0.503,0.359,0.736,2.6,0.038
332,2010,NBA,1,20,SAS,James Anderson\anderja01,21.096,G-F,us,Oklahoma State,2011,2016,247,17.5,5.8,2.3,1.2,0.5,0.2,0.411,0.495,0.321,0.755,3.3,0.037
333,2012,NBA,1,4,CLE,Dion Waiters\waitedi01,20.206,G,us,Syracuse,2013,2019,409,28.4,13.2,2.7,2.8,0.9,0.3,0.412,0.443,0.347,0.692,8.7,0.036
334,2012,NBA,1,10,NOH,Austin Rivers\riverau01,19.336,G,us,Duke,2013,2020,490,24.5,9.2,2,2.4,0.7,0.2,0.417,0.46,0.347,0.637,9.1,0.036
335,2013,NBA,1,19,CLE,Sergey Karasev\karasse01,19.249,G-F,ru,,2014,2016,95,11.7,3,1.5,0.9,0.3,0,0.395,0.489,0.282,0.842,0.8,0.036
336,2010,NBA,2,43,LAL,Devin Ebanks\ebankde01,20.244,F,us,West Virginia,2011,2013,63,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035
337,2013,NBA,2,36,SAC,Ray McCallum\mccalra01,22.021,G,us,Detroit Mercy,2014,2016,154,18.2,6,2,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.035
338,2017,NBA,2,48,MIL,Sindarius Thornwell\thornsi01,22.225,G,us,South Carolina,2018,2019,137,10.7,2.5,1.3,0.6,0.5,0.2,0.415,0.442,0.342,0.689,1,0.034
339,2011,NBA,1,10,MIL,Jimmer Fredette\fredeji01,22.123,G,us,BYU,2012,2019,241,13.3,6,1,1.4,0.4,0,0.409,0.434,0.372,0.879,2.2,0.033
340,2014,NBA,1,5,UTA,Dante Exum\exumda01,18.353,G,au,,2015,2019,204,19.3,5.9,1.8,2.3,0.4,0.2,0.4,0.477,0.304,0.77,2.7,0.033
341,2016,NBA,1,24,PHI,Timothé Luwawu-Cabarrot\luwawti01,21.051,F,fr,,2017,2019,171,15.6,5.7,1.9,0.9,0.4,0.1,0.387,0.457,0.32,0.82,1.8,0.033
342,2011,NBA,1,27,NJN,JaJuan Johnson\johnsja02,22.14,F,us,Purdue,2012,2012,36,8.3,3.2,1.6,0.2,0.1,0.4,0.446,0.446,,0.667,0.2,0.032
343,2013,NBA,1,11,PHI,Michael Carter-Williams\cartemi01,21.266,G,us,Syracuse,2014,2020,319,26.1,10.8,4.5,4.6,1.3,0.6,0.4,0.433,0.253,0.702,5.2,0.03
344,2014,NBA,1,29,OKC,Josh Huestis\huestjo01,22.195,F,us,Stanford,2016,2018,76,14.1,2.5,2.4,0.3,0.2,0.6,0.346,0.4,0.312,0.24,0.7,0.03
345,2014,NBA,2,32,PHI,K.J. McDaniels\mcdankj01,21.142,G-F,us,Clemson,2015,2017,148,14.1,5.3,2.2,0.6,0.5,0.6,0.412,0.479,0.29,0.776,1.3,0.03
346,2017,NBA,2,41,ATL,Tyler Dorsey\dorsety01,21.13,G,us,Oregon,2018,2019,104,16.1,6.7,2.3,1.3,0.3,0.1,0.389,0.429,0.35,0.669,1,0.03
347,2017,NBA,2,59,SAS,Jaron Blossomgame\blossja01,23.285,F,us,Clemson,2019,2019,27,16.3,4.2,3.6,0.5,0.3,0.3,0.443,0.552,0.256,0.769,0.3,0.03
348,2014,NBA,2,44,MIN,Markel Brown\brownma02,22.154,G,us,Oklahoma State,2015,2018,113,15.9,5.2,2.1,1.2,0.6,0.2,0.38,0.427,0.295,0.781,1.1,0.029
349,2016,NBA,1,8,SAC,Marquese Chriss\chrisma01,18.361,F,us,Washington,2017,2020,202,19,7.5,4.5,0.9,0.7,0.8,0.429,0.509,0.296,0.634,2.3,0.029
350,2017,NBA,2,34,SAC,Frank Mason\masonfr01,23.086,G,us,Kansas,2018,2019,90,15.8,6.8,1.9,2.6,0.6,0.2,0.392,0.426,0.3,0.773,0.9,0.029
351,2013,NBA,2,38,WAS,Nate Wolters\woltena01,22.049,G,us,South Dakota State University,2014,2018,84,18.8,5.5,2.2,2.5,0.5,0.2,0.423,0.452,0.261,0.635,0.9,0.028
352,2014,NBA,1,8,SAC,Nik Stauskas\stausni01,20.267,G,ca,Michigan,2015,2019,335,19.9,6.8,2.1,1.5,0.4,0.2,0.389,0.436,0.353,0.814,3.8,0.028
353,2017,NBA,2,40,NOP,Dwayne Bacon\bacondw01,21.302,G,us,Florida State,2018,2020,102,16.1,5.6,2.4,1,0.3,0.1,0.422,0.449,0.355,0.753,1,0.028
354,2016,NBA,2,58,BOS,Abdel Nader\naderab01,22.277,F,eg,Iowa State,2018,2020,113,11.1,3.5,1.7,0.4,0.3,0.2,0.387,0.431,0.335,0.662,0.7,0.027
355,2013,NBA,1,7,SAC,Ben McLemore\mclembe01,20.141,G,us,Kansas,2014,2020,374,23.5,8.7,2.4,1.1,0.7,0.2,0.417,0.467,0.354,0.783,4.7,0.026
356,2014,NBA,1,18,PHO,Tyler Ennis\ennisty01,19.311,G,ca,Syracuse,2015,2018,186,12.6,4.2,1.3,1.9,0.5,0.1,0.419,0.458,0.317,0.768,1.3,0.026
357,2015,NBA,1,8,DET,Stanley Johnson\johnsst04,19.031,F,us,Arizona,2016,2020,287,21.5,6.9,3.4,1.5,0.9,0.2,0.374,0.431,0.293,0.764,3.3,0.026
358,2010,NBA,1,22,POR,Elliot Williams\williel01,21.009,G,us,Memphis,2012,2016,109,13.5,4.9,1.5,0.9,0.4,0.1,0.421,0.489,0.31,0.669,0.7,0.024
359,2012,NBA,2,31,CHA,Jeffery Taylor\tayloje03,23.042,F,se,Vanderbilt,2013,2015,132,19.4,6.1,2,0.8,0.5,0.2,0.409,0.458,0.319,0.665,1.3,0.024
360,2013,NBA,1,29,OKC,Archie Goodwin\goodwar01,18.319,G,us,Kentucky,2014,2017,165,14.5,6.3,2,1.2,0.4,0.2,0.429,0.484,0.236,0.7,1.1,0.022
361,2015,NBA,1,5,ORL,Mario Hezonja\hezonma01,20.125,F-G,hr,,2016,2020,283,19,7.3,3.1,1.3,0.7,0.3,0.416,0.482,0.321,0.81,2.5,0.022
362,2016,NBA,1,18,DET,Henry Ellenson\ellenhe01,19.166,F,us,Marquette,2017,2019,76,9.7,4.3,2.5,0.6,0.2,0,0.377,0.395,0.353,0.774,0.3,0.022
363,2017,NBA,2,45,HOU,Dillon Brooks\brookdi01,21.157,F-G,ca,Oregon,2018,2020,105,26.8,10.4,2.9,1.5,0.8,0.2,0.434,0.47,0.364,0.751,1.3,0.022
364,2012,NBA,1,22,BOS,Fab Melo\melofa01,22.014,C,br,Syracuse,2013,2013,6,6,1.2,0.5,0,0.3,0.3,0.5,0.5,,0.25,0,0.021
365,2012,NBA,2,44,DET,Kim English\engliki01,23.283,G,us,Missouri,2013,2013,41,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.452,0.28,0.724,0.2,0.021
366,2013,NBA,2,42,PHI,Pierre Jackson\jackspi01,21.308,G,us,Baylor,2017,2017,8,10.5,4.4,1.1,2.4,0.3,0,0.333,0.357,0.273,0.857,0,0.021
367,2014,NBA,1,26,MIA,P.J. Hairston\hairspj02,21.189,G-F,us,UNC,2015,2016,111,18,6,2.4,0.5,0.5,0.2,0.343,0.414,0.295,0.81,0.9,0.021
368,2016,NBA,1,21,ATL,DeAndre' Bembry\bembrde01,21.36,F,us,Saint Joseph's,2017,2020,151,19.1,6.5,3.4,2,0.9,0.4,0.452,0.511,0.279,0.589,1.2,0.021
369,2017,NBA,2,31,CHO,Frank Jackson\jacksfr01,19.054,G,us,Duke,2019,2020,67,19.1,8.4,2.1,1.2,0.4,0,0.437,0.511,0.32,0.75,0.6,0.021
370,2010,NBA,1,30,WAS,Lazar Hayward\haywala01,23.216,F,us,Marquette,2011,2013,72,8.2,2.9,1.3,0.5,0.2,0.1,0.347,0.395,0.269,0.767,0.2,0.02
371,2011,NBA,1,28,CHI,Norris Cole\coleno01,22.258,G,us,Cleveland State University,2012,2017,360,22.3,7,2,2.7,0.8,0.1,0.407,0.436,0.324,0.743,3,0.018
372,2016,NBA,1,5,MIN,Kris Dunn\dunnkr01,22.103,G,us,Providence,2017,2020,183,24,8.4,3.2,4.3,1.4,0.5,0.415,0.442,0.312,0.718,1.7,0.018
373,2016,NBA,2,60,UTA,Tyrone Wallace\wallaty01,22.019,G,us,Cal,2018,2020,94,16.1,5.6,2.3,1.2,0.5,0.2,0.439,0.47,0.23,0.674,0.6,0.018
374,2010,NBA,1,25,MEM,Dominique Jones\jonesdo02,21.257,G,us,University of South Florida,2011,2013,80,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.393,0.095,0.729,0.3,0.017
375,2011,NBA,2,44,GSW,Charles Jenkins\jenkich01,22.12,G,us,Hofstra,2012,2013,110,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017
376,2012,NBA,1,24,CLE,Jared Cunningham\cunnija01,21.043,G,us,Oregon State,2013,2016,84,7.2,2.3,0.7,0.5,0.3,0,0.347,0.369,0.306,0.674,0.2,0.017
377,2009,NBA,2,58,BOS,Lester Hudson\hudsole01,24.328,G,us,University of Tennessee at Martin,2010,2015,57,10.4,4.7,1.4,1.2,0.6,0.1,0.375,0.441,0.277,0.806,0.2,0.016
378,2015,NBA,2,38,DET,Darrun Hilliard\hillida01,22.078,G,us,Villanova,2016,2018,91,9.4,3.2,0.9,0.8,0.2,0,0.377,0.42,0.304,0.747,0.3,0.016
